arr_size,avg_partition_size
100,39.6000
200,92.9000
300,138.8000
400,112.0000
500,211.0000
600,267.2000
700,334.7000
800,379.8000
900,436.0000
1000,465.6000
1100,513.0000
1200,535.7000
1300,597.4000
1400,679.0000
1500,735.6000
1600,774.4000
1700,819.1000
1800,844.4000
1900,872.2000
2000,940.9000
2100,1001.1000
2200,1060.6000
2300,1105.9000
2400,1146.7000
2500,1175.8000
2600,1220.7000
2700,1269.5000
2800,1126.5000
2900,1134.6000
3000,1290.6000
3100,1432.3000
3200,1465.9000
3300,1526.4000
3400,1619.3000
3500,1636.2000
3600,1659.1000
3700,1721.9000
3800,1759.4000
3900,1837.5000
4000,1862.3000
4100,1894.8000
4200,1948.8000
4300,2003.1000
4400,2015.6000
4500,2120.8999
4600,2157.3000
4700,2179.8000
4800,2247.1001
4900,2351.3999
5000,2379.1001
5100,2489.3999
5200,2444.8999
5300,2502.8000
5400,2577.5000
5500,2607.3000
5600,2664.3000
5700,2699.8000
5800,2770.5000
5900,2797.8000
6000,2858.2000
6100,2894.6001
6200,2962.3000
6300,3006.1001
6400,3040.5000
6500,3130.3000
6600,3117.8999
6700,3136.6001
6800,3203.1001
6900,3303.8000
7000,3346.3000
7100,3377.5000
7200,3421.0000
7300,3441.5000
7400,3504.1001
7500,3557.7000
7600,3625.0000
7700,3576.6001
7800,3653.6001
7900,3737.8999
8000,3805.3999
8100,3818.7000
8200,3894.3000
8300,3917.5000
8400,3972.0000
8500,4015.0000
8600,4046.2000
8700,4156.1001
8800,4123.0000
8900,4208.5000
9000,4222.7998
9100,4343.2998
9200,4391.7998
9300,4382.5000
9400,4488.6001
9500,4518.0000
9600,4577.6001
9700,4651.1001
9800,4648.3999
9900,4730.0000
10000,4774.8999
10100,4777.7002
10200,4894.2998
10300,4923.8999
10400,4959.2998
10500,5009.7002
10600,5067.1001
10700,5088.0000
10800,5138.7002
10900,5209.0000
11000,5261.7002
11100,5317.0000
11200,5374.7002
11300,5373.5000
11400,5442.7002
11500,5496.2998
11600,5495.7002
11700,5538.8999
11800,5640.7002
11900,5692.6001
12000,5746.5000
12100,5787.8999
12200,5689.2002
12300,5818.2002
12400,5953.0000
12500,5958.1001
12600,6018.3999
12700,6073.6001
12800,6068.7998
12900,6068.7998
13000,6226.1001
13100,6275.6001
13200,6199.7998
13300,6343.7002
13400,6393.6001
13500,6486.2002
13600,6528.3999
13700,6523.1001
13800,6617.1001
13900,6674.3999
14000,6659.7998
14100,6751.3999
14200,6797.6001
14300,6865.7998
14400,6838.5000
14500,7000.6001
14600,7003.8999
14700,7076.7002
14800,7100.7002
14900,7068.2998
15000,7179.0000
15100,7138.2002
15200,7300.3999
15300,7322.1001
15400,7393.3999
15500,7506.2998
15600,7447.8999
15700,7499.5000
15800,7538.5000
15900,7633.3999
16000,7668.8999
16100,7702.0000
16200,7743.3999
16300,7812.8999
16400,7861.6001
16500,7895.7998
16600,7977.0000
16700,8060.7998
16800,8018.3999
16900,7381.8999
17000,7656.0000
17100,7696.0000
17200,5061.2002
17300,7789.2002
17400,7791.3999
17500,8163.0000
17600,8345.5000
17700,8060.2998
17800,8349.2998
17900,8030.2002
18000,8124.7998
18100,8421.7998
18200,8708.5000
18300,8648.0996
18400,8791.7002
18500,8789.0000
18600,8799.2998
18700,8968.0996
18800,8846.9004
18900,9052.0000
19000,9099.7002
19100,9125.2998
19200,9157.2998
19300,8555.2998
19400,8429.7002
19500,8912.9004
19600,8274.4004
19700,7830.7998
19800,8770.5000
19900,8820.2002
20000,9526.0996
20100,9332.5000
20200,9576.5000
20300,9289.0996
20400,9397.7998
20500,8616.2998
20600,9752.7002
20700,9732.4004
20800,9651.9004
20900,9555.0000
21000,9413.7998
21100,9919.2998
21200,9859.4004
21300,9981.5996
21400,9978.7998
21500,10255.4004
21600,9960.2998
21700,10265.9004
21800,10426.2998
21900,10357.5996
22000,10444.7002
22100,10543.7002
22200,10618.4004
22300,10677.5000
22400,10618.2998
22500,10643.2002
22600,10789.0000
22700,10683.9004
22800,10806.7998
22900,10924.5000
23000,10914.9004
23100,11034.4004
23200,11066.4004
23300,11071.0996
23400,11213.2998
23500,11260.4004
23600,11313.2002
23700,11209.4004
23800,11363.0996
23900,11466.9004
24000,11487.5996
24100,11434.7998
24200,11506.4004
24300,11422.4004
24400,11607.5000
24500,11532.2998
24600,11545.7002
24700,11652.2998
24800,11844.7002
24900,11890.5000
25000,11761.5000
25100,11802.7998
25200,11951.5996
25300,11738.0996
25400,12166.7002
25500,11992.0996
25600,12124.7998
25700,12287.2998
25800,12211.5000
25900,12280.2002
26000,12424.5000
26100,12478.7002
26200,12428.7998
26300,12584.2002
26400,12646.2998
26500,12631.0996
26600,12701.5996
26700,12770.5996
26800,12789.5000
26900,12865.4004
27000,12896.9004
27100,12974.7998
27200,13022.4004
27300,13042.7002
27400,12920.0000
27500,13162.0996
27600,13208.9004
27700,13250.0996
27800,13275.5000
27900,13403.9004
28000,13380.0996
28100,13437.0000
28200,13453.5000
28300,13460.0000
28400,13566.0000
28500,13610.2998
28600,13674.4004
28700,13620.5996
28800,13775.4004
28900,13832.0996
29000,13796.2998
29100,13941.9004
29200,13886.5000
29300,14023.4004
29400,13995.2002
29500,14094.7998
29600,14061.5000
29700,14079.5996
29800,14276.2002
29900,14172.0000
30000,14394.2998
30100,14370.5000
30200,14448.0996
30300,14495.7998
30400,14549.7998
30500,14504.7002
30600,14640.4004
30700,14688.2998
30800,14729.2998
30900,14784.2998
31000,14856.2002
31100,14869.7002
31200,14779.2998
31300,15015.7998
31400,15023.5996
31500,15067.5996
31600,15142.7002
31700,15175.0996
31800,15251.5000
31900,15256.0996
32000,15336.0996
32100,15383.4004
32200,15422.9004
32300,15387.7002
32400,15528.7998
32500,15575.0996
32600,15618.0000
32700,15618.7998
32800,15724.9004
32900,15791.2002
33000,15814.5000
33100,15697.0996
33200,15900.5000
33300,15954.5996
33400,15969.2002
33500,15981.2998
33600,16145.5996
33700,16156.0996
33800,16177.4004
33900,16226.7998
34000,16303.7998
34100,16350.5000
34200,16367.0996
34300,16444.6992
34400,16433.5996
34500,16509.3008
34600,16541.0996
34700,16561.4004
34800,16655.0000
34900,16760.5996
35000,16800.6992
35100,16787.5996
35200,16840.4004
35300,16876.3008
35400,16893.9004
35500,16982.3008
35600,17006.8008
35700,17083.6992
35800,17091.0996
35900,17135.0996
36000,17226.0996
36100,17292.4004
36200,17307.1992
36300,17342.8008
36400,17463.0000
36500,17454.6992
36600,17503.6992
36700,17575.1992
36800,17651.8008
36900,17603.5996
37000,17726.5996
37100,17776.6992
37200,17764.1992
37300,17789.0996
37400,17894.4004
37500,17942.3008
37600,18022.9004
37700,17992.1992
37800,18099.9004
37900,18163.4004
38000,18194.3008
38100,18198.9004
38200,18284.0000
38300,18317.6992
38400,18377.0000
38500,18272.1992
38600,18474.6992
38700,18544.0000
38800,18587.8008
38900,18602.1992
39000,18706.8008
39100,18644.5000
39200,18722.5996
39300,18795.5996
39400,18829.9004
39500,18940.1992
39600,18999.6992
39700,19016.1992
39800,19062.0996
39900,19098.6992
40000,19167.9004
40100,19196.6992
40200,19269.1992
40300,19306.9004
40400,19313.1992
40500,19371.8008
40600,19479.5996
40700,19487.0996
40800,19533.0996
40900,19416.4004
41000,19615.1992
41100,19695.1992
41200,19772.3008
41300,19831.0996
41400,19813.5996
41500,19867.0000
41600,19997.0000
41700,19994.6992
41800,19984.1992
41900,20056.0000
42000,20088.6992
42100,20187.0996
42200,20215.0996
42300,20326.1992
42400,20293.4004
42500,20397.8008
42600,20380.4004
42700,20420.4004
42800,20444.3008
42900,20493.4004
43000,20599.0996
43100,20678.5000
43200,20699.8008
43300,20645.8008
43400,20773.3008
43500,20844.8008
43600,20851.1992
43700,20965.8008
43800,20927.1992
43900,21027.1992
44000,21073.0000
44100,21087.0996
44200,21179.8008
44300,21207.9004
44400,21270.0996
44500,21294.1992
44600,21310.6992
44700,21380.0000
44800,21483.5000
44900,21478.0996
45000,21544.5000
45100,21641.8008
45200,21679.9004
45300,21656.3008
45400,21761.1992
45500,21783.1992
45600,21790.5996
45700,21877.8008
45800,21937.5996
45900,21933.0996
46000,22062.9004
46100,22161.9004
46200,22165.0996
46300,22121.1992
46400,22166.3008
46500,22331.8008
46600,22293.5996
46700,22383.1992
46800,22387.8008
46900,22456.9004
47000,22492.5996
47100,22527.8008
47200,22567.0000
47300,22674.6992
47400,22706.1992
47500,22754.9004
47600,22757.9004
47700,22820.9004
47800,22860.8008
47900,22932.3008
48000,23039.1992
48100,23077.4004
48200,23056.1992
48300,23172.8008
48400,23218.5996
48500,23228.0996
48600,23210.4004
48700,23292.4004
48800,23344.3008
48900,23391.5000
49000,23471.0996
49100,23492.8008
49200,23504.0996
49300,23672.9004
49400,23665.9004
49500,23664.1992
49600,23700.9004
49700,23819.0996
49800,23858.5000
49900,23881.0996
50000,23941.9004
